10240, 0.60, 8, 39231, 39436
10240, 0.60, 16, 35632, 35910
12800, 0.60, 2, 72887, 73217
12800, 0.60, 4, 87941, 88438
12800, 0.60, 8, 62646, 62959
12800, 0.60, 16, 124617, 124942
1024, 0.60, 2, 754, 758
1024, 0.60, 4, 688, 702
1024, 0.60, 8, 671, 685
1024, 0.60, 16, 903, 908
2048, 0.60, 2, 1586, 1598
2048, 0.60, 4, 2509, 2520
2048, 0.60, 8, 2278, 2289
2048, 0.60, 16, 1555, 1588
4096, 0.60, 2, 7761, 7795
4096, 0.60, 4, 6940, 6991
4096, 0.60, 8, 6660, 6695
4096, 0.60, 16, 5384, 5419
7680, 0.60, 2, 20969, 21087
7680, 0.60, 4, 29743, 29963
7680, 0.60, 8, 44720, 44837
7680, 0.60, 16, 28293, 28517
10240, 0.60, 2, 38426, 38794
10240, 0.60, 4, 40207, 40423
10240, 0.60, 8, 36753, 36962
10240, 0.60, 16, 82247, 82454
12800, 0.60, 2, 52882, 53472
12800, 0.60, 4, 57165, 57551
12800, 0.60, 8, 85231, 85811
12800, 0.60, 16, 81250, 81574
1024, 0.60, 2, 360, 365
1024, 0.60, 4, 321, 325
1024, 0.60, 8, 297, 301
1024, 0.60, 16, 936, 950
2048, 0.60, 2, 2155, 2188
2048, 0.60, 4, 2096, 2127
2048, 0.60, 8, 2422, 2438
2048, 0.60, 16, 2450, 2462
4096, 0.60, 2, 5455, 5519
4096, 0.60, 4, 7382, 7433
4096, 0.60, 8, 7763, 7798
4096, 0.60, 16, 14421, 14455
7680, 0.60, 2, 22299, 22486
7680, 0.60, 4, 20204, 20322
7680, 0.60, 8, 42452, 42660
7680, 0.60, 16, 23528, 23788
10240, 0.60, 2, 35068, 35520
10240, 0.60, 4, 69357, 69563
10240, 0.60, 8, 57991, 58196
10240, 0.60, 16, 55423, 55629
12800, 0.60, 2, 97405, 97729
12800, 0.60, 4, 63427, 63751
12800, 0.60, 8, 75679, 76002
12800, 0.60, 16, 86111, 86428
1024, 0.60, 2, 666, 670
1024, 0.60, 4, 414, 418
1024, 0.60, 8, 493, 497
1024, 0.60, 16, 310, 313
2048, 0.60, 2, 1158, 1169
2048, 0.60, 4, 1761, 1773
2048, 0.60, 8, 1339, 1350
2048, 0.60, 16, 1743, 1754
4096, 0.60, 2, 10622, 10656
4096, 0.60, 4, 8586, 8621
4096, 0.60, 8, 8146, 8181
4096, 0.60, 16, 6791, 6906
7680, 0.60, 2, 33395, 33587
7680, 0.60, 4, 39275, 39419
7680, 0.60, 8, 55553, 55672
7680, 0.60, 16, 23523, 23637
10240, 0.60, 2, 48666, 49027
10240, 0.60, 4, 64002, 64210
10240, 0.60, 8, 42162, 42682
10240, 0.60, 16, 51829, 52038
12800, 0.60, 2, 69445, 69767
12800, 0.60, 4, 87029, 87447
12800, 0.60, 8, 61184, 62019
12800, 0.60, 16, 86026, 86377
1024, 0.60, 2, 453, 457
1024, 0.60, 4, 576, 579
1024, 0.60, 8, 688, 692
1024, 0.60, 16, 611, 624
2048, 0.60, 2, 1881, 1893
2048, 0.60, 4, 2254, 2266
2048, 0.60, 8, 1874, 1888
2048, 0.60, 16, 2428, 2441
4096, 0.60, 2, 8152, 8239
4096, 0.60, 4, 12461, 12511
4096, 0.60, 8, 8307, 8342
4096, 0.60, 16, 14096, 14130
7680, 0.60, 2, 29525, 29697
7680, 0.60, 4, 25880, 26002
7680, 0.60, 8, 23667, 23786
7680, 0.60, 16, 53417, 53605
10240, 0.60, 2, 42719, 42932
10240, 0.60, 4, 34344, 34706
10240, 0.60, 8, 42683, 42889
10240, 0.60, 16, 89554, 89901
12800, 0.60, 2, 82225, 82764
12800, 0.60, 4, 76395, 76757
12800, 0.60, 8, 110819, 111155
12800, 0.60, 16, 128595, 128916
1024, 0.60, 2, 546, 560
1024, 0.60, 4, 651, 655
